100
0.00	25.66	34.69	44.91	12.01	46.48	22.27	29.26	46.60	49.60	4.28	22.97	17.12	26.73	47.76	32.50	43.37	16.00	50.36	25.48	36.81	25.31	31.42	26.14	38.27	24.17	29.16	26.30	31.56	11.96	20.90	18.92	10.54	15.79	28.54	28.31	40.42	21.27	17.59	39.47	14.05	29.83	28.82	32.98	33.12	40.35	22.84	10.85	37.94	27.04	17.80	17.42	8.54	49.00	26.26	25.82	36.74	22.84	20.11	31.93	37.78	28.12	9.51	19.23	39.28	37.42	18.94	14.53	37.98	30.11	34.44	15.70	16.63	35.65	31.32	17.94	24.03	24.63	24.18	48.78	14.20	18.75	22.22	17.43	41.38	10.74	8.90	6.48	43.43	38.95	4.84	38.44	21.33	19.20	13.83	39.05	24.99	11.12	15.73	14.03	
25.66	0.00	27.34	40.37	14.75	37.44	5.19	53.43	36.36	38.32	29.50	24.85	15.85	39.71	39.46	54.73	49.71	22.77	39.70	24.65	47.93	49.90	37.11	14.86	50.11	18.02	12.25	41.28	8.55	36.03	10.63	42.45	15.35	34.83	53.57	39.85	26.16	11.42	9.73	34.01	39.43	28.34	5.90	23.57	41.80	53.50	35.78	35.98	49.04	39.61	40.37	38.80	32.95	35.92	11.87	25.25	56.42	4.49	45.25	12.59	46.94	52.44	22.64	20.79	23.19	19.21	44.04	39.41	50.78	17.07	25.66	16.61	41.08	46.37	7.42	20.80	9.03	5.59	14.18	40.61	11.62	7.43	47.60	27.07	46.79	30.44	31.73	19.35	33.18	51.20	22.39	23.55	28.20	21.12	39.46	21.25	7.78	17.47	34.13	16.13	
34.69	27.34	0.00	13.04	32.52	11.90	30.71	49.80	11.91	14.95	35.74	12.69	18.56	25.70	13.44	47.10	26.10	43.39	15.67	9.79	28.80	48.03	16.94	41.42	31.09	43.48	39.56	28.67	22.18	46.33	18.83	40.32	30.89	50.03	60.54	24.24	9.73	36.50	23.07	6.67	42.48	7.26	32.98	3.91	22.40	34.95	24.05	39.31	29.60	25.22	52.40	34.91	36.12	14.94	38.77	9.70	44.65	30.35	46.02	17.03	26.28	61.26	25.37	43.57	11.75	14.54	44.97	40.97	32.53	44.21	2.06	38.06	50.41	27.33	23.61	42.92	18.61	32.48	40.21	14.55	26.72	29.54	53.81	20.04	23.05	29.83	33.49	30.01	8.81	32.30	35.42	9.97	16.88	15.54	43.94	14.12	34.68	35.42	49.76	21.67	
44.91	40.37	13.04	0.00	44.71	7.70	43.71	53.67	9.80	11.99	45.04	21.96	30.43	27.88	6.59	49.24	19.33	55.50	11.18	19.69	26.16	52.88	17.62	54.40	28.05	56.33	52.60	30.96	34.80	55.82	31.64	45.93	42.88	60.66	68.03	25.75	18.16	49.39	35.72	6.39	49.91	15.13	45.97	16.82	21.36	31.61	28.22	47.21	26.49	27.29	62.02	40.55	44.37	15.03	51.79	19.26	44.72	43.37	52.19	29.54	22.80	69.37	35.40	56.04	21.52	25.53	51.32	48.01	29.86	57.24	14.74	50.49	59.31	25.11	36.29	55.30	31.64	45.52	53.16	6.71	39.09	42.38	61.42	28.10	16.87	37.78	41.64	41.20	10.41	29.12	46.51	19.99	24.19	26.13	51.73	24.36	47.71	47.45	60.51	33.30	
12.01	14.75	32.52	44.71	0.00	44.25	10.57	41.18	43.81	46.44	16.25	23.91	14.30	33.90	45.93	43.90	48.19	10.87	47.52	25.40	43.60	37.29	35.31	14.86	45.45	14.06	17.28	34.43	22.12	21.33	14.44	30.59	2.32	20.46	38.92	34.87	35.46	9.51	9.98	38.55	26.05	30.01	16.99	29.67	38.58	48.19	29.71	22.86	44.77	34.03	25.65	28.18	20.32	44.98	14.46	25.93	47.26	11.21	32.12	24.07	43.70	37.70	13.88	11.55	33.41	30.47	30.95	26.52	45.58	18.86	31.57	6.09	26.38	42.21	21.48	10.66	16.52	12.73	12.91	47.06	5.88	7.35	33.13	21.77	45.70	20.15	19.94	7.15	40.49	46.34	7.90	33.06	24.75	19.29	25.67	32.38	12.97	3.14	19.85	11.68	
46.48	37.44	11.90	7.70	44.25	0.00	41.43	58.92	2.16	4.55	47.30	23.90	30.44	33.43	2.15	55.13	26.94	55.12	4.34	21.15	33.16	57.70	23.27	52.07	35.17	54.52	49.62	36.54	30.73	57.99	30.20	50.33	42.70	61.90	71.56	31.48	12.42	47.51	34.59	7.91	53.39	17.31	42.65	14.63	27.78	38.84	32.98	50.39	33.60	32.87	64.11	44.88	47.31	7.33	49.23	20.90	51.24	40.99	56.37	25.51	29.92	72.52	37.07	55.10	15.94	20.31	55.40	51.69	36.93	54.51	12.68	49.64	61.91	31.98	32.27	54.51	29.38	42.89	51.05	3.25	38.40	40.72	64.85	30.94	24.37	40.85	44.63	41.90	4.34	36.29	47.31	14.76	27.32	27.28	55.01	18.77	45.11	47.20	61.65	33.56	
22.27	5.19	30.71	43.71	10.57	41.43	0.00	50.96	40.51	42.66	26.36	26.15	16.29	39.73	43.38	52.93	51.34	17.62	43.98	26.52	48.58	47.23	38.47	10.70	50.67	13.24	9.68	40.95	13.71	31.83	12.39	40.11	11.74	29.99	49.43	40.17	30.66	6.38	9.52	37.32	36.29	30.64	6.56	27.12	42.76	53.86	35.64	32.97	49.73	39.71	35.81	36.97	30.16	40.46	8.16	27.12	55.34	0.73	42.28	17.39	47.96	48.08	21.10	15.60	27.88	24.08	41.09	36.54	51.16	13.69	29.22	11.50	36.87	47.07	12.62	15.61	12.12	2.67	9.62	44.54	9.35	3.62	43.69	26.96	48.53	28.60	29.30	16.38	37.26	51.70	18.46	28.07	28.78	21.92	36.08	26.12	4.32	12.91	29.26	15.53	
29.26	53.43	49.80	53.67	41.18	58.92	50.96	0.00	60.07	63.23	24.99	37.84	39.87	25.80	59.19	7.69	40.77	43.42	63.26	40.61	31.01	4.26	36.05	55.32	30.58	52.95	58.42	22.75	57.29	26.06	45.51	11.00	39.44	34.37	21.82	27.98	58.76	50.54	44.00	51.03	15.84	42.63	57.49	50.37	32.97	29.60	25.99	18.48	31.53	26.39	28.88	15.54	20.87	64.34	55.52	40.50	15.86	51.43	9.99	55.74	34.17	25.36	31.11	47.30	59.22	59.21	10.91	14.77	28.98	59.24	50.75	44.74	23.96	31.12	57.53	46.00	48.84	53.47	53.37	59.81	41.93	47.33	18.45	30.81	40.81	23.31	21.72	34.59	57.78	30.30	33.93	57.77	33.11	37.51	17.23	60.21	54.07	40.33	35.11	38.08	
46.60	36.36	11.91	9.80	43.81	2.16	40.51	60.07	0.00	3.19	47.61	24.34	30.24	34.75	4.09	56.48	28.96	54.66	3.77	21.51	34.92	58.72	24.69	51.09	36.98	53.67	48.47	37.86	29.38	58.23	29.59	51.25	42.35	61.87	72.16	32.87	10.80	46.67	34.03	9.10	54.02	17.97	41.44	14.15	29.39	40.68	34.08	50.95	35.40	34.20	64.31	45.79	47.82	5.26	48.20	21.31	52.81	40.03	57.19	24.21	31.73	73.01	37.27	54.48	14.30	18.72	56.20	52.39	38.71	53.41	12.34	49.07	62.26	33.70	30.91	53.94	28.55	41.86	50.13	5.00	37.94	39.97	65.44	31.52	26.34	41.42	45.15	41.80	3.32	38.10	47.21	13.26	28.03	27.44	55.57	17.08	44.08	46.81	61.59	33.40	
49.60	38.32	14.95	11.99	46.44	4.55	42.66	63.23	3.19	0.00	50.69	27.48	33.08	37.86	5.47	59.58	31.32	57.26	1.63	24.63	37.70	61.90	27.75	53.14	39.71	55.87	50.31	40.97	30.97	61.28	32.12	54.44	45.05	64.78	75.32	35.95	12.25	48.89	36.58	12.22	57.19	21.16	43.19	16.89	32.33	43.37	37.26	54.11	38.14	37.30	67.34	48.99	50.96	3.75	50.19	24.45	55.78	42.15	60.39	25.93	34.46	76.15	40.32	56.93	15.58	20.00	59.39	55.57	41.47	55.30	15.21	51.57	65.35	36.53	32.50	56.44	30.86	43.87	52.26	5.82	40.56	42.32	68.60	34.69	28.82	44.58	48.30	44.69	6.16	40.83	50.09	14.85	31.22	30.49	58.73	18.18	46.09	49.47	64.47	36.26	
