60
0.00	29.20	41.68	30.85	18.68	11.85	23.14	35.68	38.32	10.07	27.28	45.26	34.97	44.85	12.90	28.51	33.51	28.11	45.44	14.11	31.39	44.31	28.35	16.67	23.71	11.74	28.61	46.32	45.04	37.11	32.07	35.55	47.95	31.57	57.48	25.85	39.03	37.80	35.54	36.95	44.93	42.65	53.30	25.09	26.59	6.28	27.26	34.88	39.74	18.18	48.02	11.59	27.79	22.20	43.96	39.69	12.31	26.90	30.73	29.22	
29.20	0.00	41.85	12.27	10.56	39.99	11.61	6.52	23.09	25.49	20.42	34.82	12.68	37.72	34.98	6.75	11.40	1.79	50.14	19.09	10.27	42.95	20.17	12.78	16.34	31.12	21.65	47.52	31.90	34.22	9.91	30.38	34.20	4.03	37.88	40.92	13.49	40.82	43.38	8.06	43.03	33.78	33.53	10.38	38.92	33.16	2.21	6.87	11.68	39.23	31.81	17.76	23.66	31.68	33.45	15.63	40.57	3.31	43.02	35.79	
41.68	41.85	0.00	53.23	40.07	41.58	31.29	43.77	22.86	31.85	21.60	15.18	32.66	10.46	32.13	47.63	32.86	42.77	9.44	31.46	51.70	2.99	21.70	37.31	26.40	30.76	20.25	5.68	19.02	7.73	33.47	11.74	20.28	39.59	32.70	21.65	36.79	4.76	11.04	42.99	3.85	13.05	30.99	31.78	18.50	38.38	42.15	40.36	41.59	30.04	23.86	40.63	18.57	19.65	15.27	34.59	42.06	43.24	17.44	12.93	
30.85	12.27	53.23	0.00	15.03	42.66	21.99	15.04	35.36	31.13	31.63	47.06	24.81	49.81	40.25	5.68	23.61	10.86	61.03	25.97	2.39	54.57	31.60	18.37	26.93	36.82	33.02	58.90	44.17	45.77	22.17	42.07	46.45	15.92	49.40	48.97	24.63	51.70	53.41	17.03	54.72	45.93	45.14	21.47	47.60	36.32	11.29	17.62	21.16	45.24	43.95	20.01	34.70	40.46	45.68	27.11	43.14	10.07	51.96	45.66	
18.68	10.56	40.07	15.03	0.00	29.75	9.78	17.07	26.59	16.38	19.10	36.98	19.11	38.63	25.76	10.81	17.54	9.43	47.12	10.94	14.56	41.83	19.50	3.34	14.00	22.13	20.67	45.66	35.09	33.10	15.86	29.85	37.80	13.36	44.28	33.94	22.02	37.90	38.90	18.48	42.12	35.17	39.88	10.59	32.64	22.99	8.57	16.70	21.66	30.52	36.42	7.20	21.68	25.57	35.55	23.39	30.31	8.29	37.03	31.16	
11.85	39.99	41.58	42.66	29.75	0.00	31.98	46.30	44.51	15.86	33.09	48.91	43.65	47.30	9.62	40.05	42.33	39.10	42.85	22.24	43.11	44.50	34.29	27.22	30.97	12.33	34.06	45.17	49.68	39.04	41.11	38.68	52.51	41.83	63.46	21.46	48.20	37.05	32.91	47.35	45.27	46.03	59.60	34.05	23.66	6.85	38.21	45.03	49.69	12.20	53.45	23.01	32.43	22.59	47.79	48.37	0.62	38.04	26.74	28.68	
23.14	11.61	31.29	21.99	9.78	31.98	0.00	16.19	17.05	16.26	9.76	27.20	11.86	28.97	25.24	16.49	10.43	12.02	39.07	9.74	20.62	32.77	9.94	8.36	4.95	21.31	11.24	36.95	25.38	23.96	9.14	20.45	28.13	11.23	35.45	29.52	16.22	29.73	31.87	16.59	32.98	25.43	31.10	2.07	27.38	25.26	11.25	13.89	18.06	28.83	26.99	14.16	12.73	20.16	25.77	16.59	32.59	12.18	31.43	24.22	
35.68	6.52	43.77	15.04	17.07	46.30	16.19	0.00	22.73	31.42	23.31	34.59	11.63	38.17	40.82	10.90	11.04	7.92	52.59	24.87	12.66	44.46	22.74	19.12	20.24	36.92	24.23	49.35	31.13	36.04	10.30	32.05	33.02	4.96	34.54	45.64	9.88	43.43	46.77	2.01	44.40	34.10	30.37	14.43	43.33	39.45	8.64	3.49	6.15	44.81	30.03	24.27	26.59	36.19	33.33	12.54	46.88	9.41	47.20	39.45	
38.32	23.09	22.86	35.36	26.59	44.51	17.05	22.73	0.00	29.21	11.42	11.89	11.10	15.57	35.72	29.77	11.94	24.56	32.25	24.25	33.32	22.81	10.23	25.40	14.69	32.28	10.51	28.00	8.84	15.58	13.23	11.83	11.32	19.68	19.19	33.35	14.27	24.06	29.30	21.48	22.57	11.48	15.13	16.00	30.05	38.55	24.29	19.25	19.27	37.18	9.97	31.03	12.55	24.81	10.60	11.86	45.12	25.61	32.45	23.90	
10.07	25.49	31.85	31.13	16.38	15.86	16.26	31.42	29.21	0.00	17.87	35.34	27.81	34.79	9.50	27.18	26.51	24.96	36.34	6.61	30.89	34.40	19.02	13.21	15.17	5.75	19.06	36.70	35.35	27.05	25.35	25.51	38.25	26.69	48.37	18.81	32.42	28.19	26.72	32.24	35.00	32.67	44.34	18.32	18.50	9.41	24.04	29.74	34.21	14.15	38.62	11.83	17.95	12.82	34.07	32.52	16.47	24.19	22.93	19.79	
27.28	20.42	21.60	31.63	19.10	33.09	9.76	23.31	11.42	17.87	0.00	18.65	14.02	19.63	24.42	26.03	13.47	21.23	29.72	13.51	30.11	23.02	1.22	16.85	5.10	20.90	1.58	27.28	17.83	14.20	13.38	10.75	20.74	18.67	30.52	24.00	19.01	20.41	23.47	22.98	23.22	16.45	26.54	10.19	21.11	27.15	20.58	20.18	22.82	26.32	20.78	21.57	3.29	14.68	17.26	17.90	33.70	21.65	24.48	16.31	
45.26	34.82	15.18	47.06	36.98	48.91	27.20	34.59	11.89	35.34	18.65	0.00	22.98	4.98	39.40	41.42	23.82	36.21	24.22	32.02	45.08	13.79	17.88	35.18	23.47	36.71	17.12	18.94	4.25	11.06	25.05	10.24	5.11	31.53	17.72	32.84	25.73	18.45	24.92	33.28	13.20	2.96	15.80	26.67	29.33	43.96	35.86	31.13	30.77	39.23	8.76	40.19	17.49	26.68	1.43	23.11	49.48	37.16	30.12	22.59	
34.97	12.68	32.66	24.81	19.11	43.65	11.86	11.63	11.10	27.81	14.02	22.98	0.00	26.55	36.28	19.42	1.57	14.34	41.74	21.48	22.64	33.12	13.09	19.21	13.19	32.42	14.43	38.13	19.64	24.97	3.26	20.95	21.73	8.89	25.54	37.92	5.03	32.84	36.94	10.49	33.00	22.47	21.14	9.89	35.12	37.01	14.29	8.15	9.07	39.20	19.15	25.24	17.01	28.48	21.70	4.74	44.27	15.64	38.48	30.18	
44.85	37.72	10.46	49.81	38.63	47.30	28.97	38.17	15.57	34.79	19.63	4.98	26.55	0.00	37.69	44.14	27.19	38.98	19.29	32.36	47.96	8.84	19.13	36.48	24.71	35.39	18.05	13.96	9.17	8.28	28.24	9.38	9.92	34.71	22.24	29.73	29.79	14.21	20.80	37.01	8.23	4.09	20.66	28.77	26.27	42.88	38.53	34.68	34.81	36.88	13.73	41.02	17.70	24.73	5.55	27.27	47.84	39.79	26.47	19.66	
12.90	34.98	32.13	40.25	25.76	9.62	25.24	40.82	35.72	9.50	24.42	39.40	36.28	37.69	0.00	36.56	35.11	34.45	34.12	15.95	40.17	35.01	25.64	22.66	23.16	3.93	25.21	35.97	40.35	29.43	34.12	29.16	43.15	36.03	54.41	13.33	41.10	27.69	24.09	41.56	35.77	36.50	50.67	27.28	14.79	7.24	33.54	38.99	43.30	5.38	44.29	20.39	23.35	12.97	38.31	40.89	10.15	33.68	18.48	19.19	
28.51	6.75	47.63	5.68	10.81	40.05	16.49	10.90	29.77	27.18	26.03	41.42	19.42	44.14	36.56	0.00	18.15	5.21	55.55	21.48	4.14	48.93	25.97	14.02	21.43	32.93	27.40	53.31	38.60	40.14	16.64	36.41	40.93	10.62	44.44	44.34	19.79	46.21	48.16	12.88	49.07	40.26	40.12	15.85	42.75	33.43	5.61	12.81	16.99	41.32	38.55	17.05	29.15	35.54	40.04	22.12	40.58	4.40	47.04	40.44	
33.51	11.40	32.86	23.61	17.54	42.33	10.43	11.04	11.94	26.51	13.47	23.82	1.57	27.19	35.11	18.15	0.00	13.02	41.83	20.11	21.49	33.46	12.63	17.66	12.13	31.23	14.04	38.39	20.64	25.14	1.71	21.13	22.84	7.77	27.04	37.20	6.00	32.81	36.68	10.13	33.38	23.14	22.64	8.43	34.47	35.65	12.91	7.56	9.35	38.16	20.41	23.69	16.58	27.71	22.50	6.18	42.94	14.26	37.95	29.75	
28.11	1.79	42.77	10.86	9.43	39.10	12.02	7.92	24.56	24.96	21.23	36.21	14.34	38.98	34.45	5.21	13.02	0.00	50.91	18.70	9.02	43.97	21.07	11.96	16.89	30.65	22.53	48.45	33.39	35.20	11.47	31.41	35.74	5.80	39.63	40.95	15.28	41.57	43.89	9.61	44.07	35.08	35.27	11.06	39.08	32.30	0.92	8.62	13.36	38.86	33.43	16.57	24.42	31.84	34.83	17.40	39.67	1.56	43.26	36.23	
45.44	50.14	9.44	61.03	47.12	42.85	39.07	52.59	32.25	36.34	29.72	24.22	41.74	19.29	34.12	55.55	41.83	50.91	0.00	37.45	59.68	10.46	30.04	44.11	34.12	33.82	28.54	5.77	28.23	16.82	42.30	20.82	29.21	48.21	41.26	21.44	46.03	9.34	10.03	51.93	11.14	22.35	39.94	39.85	19.33	41.09	50.22	49.24	50.75	30.68	32.98	46.54	26.49	23.52	24.48	43.90	43.23	51.22	16.21	16.62	
14.11	19.09	31.46	25.97	10.94	22.24	9.74	24.87	24.25	6.61	13.51	32.02	21.48	32.36	15.95	21.48	20.11	18.70	37.45	0.00	25.41	33.65	14.48	7.60	9.60	12.06	14.97	36.78	31.34	25.41	18.87	23.00	34.24	20.10	43.39	23.00	25.95	28.55	28.61	25.65	34.10	29.63	39.20	11.80	21.78	15.54	17.79	23.13	27.61	20.16	34.04	9.18	14.69	14.86	30.66	26.21	22.85	18.09	26.21	21.00	
31.39	10.27	51.70	2.39	14.56	43.11	20.62	12.66	33.32	30.89	30.11	45.08	22.64	47.96	40.17	4.14	21.49	9.02	59.68	25.41	0.00	52.96	30.02	17.86	25.56	36.63	31.46	57.38	42.10	44.17	20.09	40.41	44.33	13.75	47.06	48.34	22.29	50.34	52.30	14.65	53.07	44.04	42.82	19.92	46.82	36.62	9.57	15.30	18.78	45.04	41.76	20.21	33.25	39.62	43.72	24.81	43.61	8.47	51.13	44.58	
