50
0.00	25.66	34.69	44.91	12.01	46.48	22.27	29.26	46.60	49.60	4.28	22.97	17.12	26.73	47.76	32.50	43.37	16.00	50.36	25.48	36.81	25.31	31.42	26.14	38.27	24.17	29.16	26.30	31.56	11.96	20.90	18.92	10.54	15.79	28.54	28.31	40.42	21.27	17.59	39.47	14.05	29.83	28.82	32.98	33.12	40.35	22.84	10.85	37.94	27.04	
25.66	0.00	27.34	40.37	14.75	37.44	5.19	53.43	36.36	38.32	29.50	24.85	15.85	39.71	39.46	54.73	49.71	22.77	39.70	24.65	47.93	49.90	37.11	14.86	50.11	18.02	12.25	41.28	8.55	36.03	10.63	42.45	15.35	34.83	53.57	39.85	26.16	11.42	9.73	34.01	39.43	28.34	5.90	23.57	41.80	53.50	35.78	35.98	49.04	39.61	
34.69	27.34	0.00	13.04	32.52	11.90	30.71	49.80	11.91	14.95	35.74	12.69	18.56	25.70	13.44	47.10	26.10	43.39	15.67	9.79	28.80	48.03	16.94	41.42	31.09	43.48	39.56	28.67	22.18	46.33	18.83	40.32	30.89	50.03	60.54	24.24	9.73	36.50	23.07	6.67	42.48	7.26	32.98	3.91	22.40	34.95	24.05	39.31	29.60	25.22	
44.91	40.37	13.04	0.00	44.71	7.70	43.71	53.67	9.80	11.99	45.04	21.96	30.43	27.88	6.59	49.24	19.33	55.50	11.18	19.69	26.16	52.88	17.62	54.40	28.05	56.33	52.60	30.96	34.80	55.82	31.64	45.93	42.88	60.66	68.03	25.75	18.16	49.39	35.72	6.39	49.91	15.13	45.97	16.82	21.36	31.61	28.22	47.21	26.49	27.29	
12.01	14.75	32.52	44.71	0.00	44.25	10.57	41.18	43.81	46.44	16.25	23.91	14.30	33.90	45.93	43.90	48.19	10.87	47.52	25.40	43.60	37.29	35.31	14.86	45.45	14.06	17.28	34.43	22.12	21.33	14.44	30.59	2.32	20.46	38.92	34.87	35.46	9.51	9.98	38.55	26.05	30.01	16.99	29.67	38.58	48.19	29.71	22.86	44.77	34.03	
46.48	37.44	11.90	7.70	44.25	0.00	41.43	58.92	2.16	4.55	47.30	23.90	30.44	33.43	2.15	55.13	26.94	55.12	4.34	21.15	33.16	57.70	23.27	52.07	35.17	54.52	49.62	36.54	30.73	57.99	30.20	50.33	42.70	61.90	71.56	31.48	12.42	47.51	34.59	7.91	53.39	17.31	42.65	14.63	27.78	38.84	32.98	50.39	33.60	32.87	
22.27	5.19	30.71	43.71	10.57	41.43	0.00	50.96	40.51	42.66	26.36	26.15	16.29	39.73	43.38	52.93	51.34	17.62	43.98	26.52	48.58	47.23	38.47	10.70	50.67	13.24	9.68	40.95	13.71	31.83	12.39	40.11	11.74	29.99	49.43	40.17	30.66	6.38	9.52	37.32	36.29	30.64	6.56	27.12	42.76	53.86	35.64	32.97	49.73	39.71	
29.26	53.43	49.80	53.67	41.18	58.92	50.96	0.00	60.07	63.23	24.99	37.84	39.87	25.80	59.19	7.69	40.77	43.42	63.26	40.61	31.01	4.26	36.05	55.32	30.58	52.95	58.42	22.75	57.29	26.06	45.51	11.00	39.44	34.37	21.82	27.98	58.76	50.54	44.00	51.03	15.84	42.63	57.49	50.37	32.97	29.60	25.99	18.48	31.53	26.39	
46.60	36.36	11.91	9.80	43.81	2.16	40.51	60.07	0.00	3.19	47.61	24.34	30.24	34.75	4.09	56.48	28.96	54.66	3.77	21.51	34.92	58.72	24.69	51.09	36.98	53.67	48.47	37.86	29.38	58.23	29.59	51.25	42.35	61.87	72.16	32.87	10.80	46.67	34.03	9.10	54.02	17.97	41.44	14.15	29.39	40.68	34.08	50.95	35.40	34.20	
49.60	38.32	14.95	11.99	46.44	4.55	42.66	63.23	3.19	0.00	50.69	27.48	33.08	37.86	5.47	59.58	31.32	57.26	1.63	24.63	37.70	61.90	27.75	53.14	39.71	55.87	50.31	40.97	30.97	61.28	32.12	54.44	45.05	64.78	75.32	35.95	12.25	48.89	36.58	12.22	57.19	21.16	43.19	16.89	32.33	43.37	37.26	54.11	38.14	37.30	
4.28	29.50	35.74	45.04	16.25	47.30	26.36	24.99	47.61	50.69	0.00	23.43	19.32	24.43	48.42	28.32	41.65	19.72	51.33	26.15	34.43	21.05	30.35	30.40	35.71	28.34	33.44	23.58	34.93	10.79	23.79	14.70	14.65	16.77	25.72	26.22	42.27	25.55	20.94	39.96	9.94	30.23	32.92	34.46	31.37	37.50	20.83	6.62	35.53	24.80	
22.97	24.85	12.69	21.96	23.91	23.90	26.15	37.84	24.34	27.48	23.43	0.00	10.11	16.32	24.99	36.05	25.19	34.30	28.01	2.91	23.25	35.74	12.33	36.12	25.50	37.01	35.82	18.74	23.80	34.17	14.22	27.90	21.82	38.70	47.87	15.80	20.96	30.55	16.74	16.56	29.79	6.87	30.69	12.57	16.98	29.06	13.30	26.64	24.33	16.05	
