60
0.0	100.7	67.7	56.6	57.5	102.0	82.9	77.2	42.0	84.1	43.9	58.8	25.0	39.0	60.7	63.1	75.7	84.0	28.1	59.2	114.2	57.7	75.3	14.3	3.2	93.3	52.9	93.0	17.9	60.7	51.0	84.1	44.9	60.2	20.1	71.4	43.9	96.3	62.4	76.0	82.0	63.2	50.6	12.0	36.7	60.5	65.7	58.7	44.8	74.2	80.3	41.6	34.2	55.5	36.7	64.7	48.1	68.4	30.2	70.8
100.7	0.0	73.7	53.8	51.6	13.0	29.4	33.5	59.5	61.0	77.2	41.9	102.7	63.0	62.0	87.9	38.3	39.0	117.4	66.5	14.4	89.9	82.9	111.5	98.2	85.2	63.5	24.3	85.5	62.0	52.6	19.2	75.1	40.5	83.6	72.2	58.6	82.6	39.4	78.6	55.0	88.2	59.4	93.5	68.6	40.5	46.1	69.0	90.4	40.5	76.2	94.7	66.6	75.8	79.4	49.0	76.1	88.5	70.5	30.4
67.7	73.7	0.0	27.6	70.9	66.0	78.4	75.7	56.4	102.6	82.9	50.3	87.1	58.1	14.9	105.1	78.6	87.1	95.3	87.1	81.0	102.6	110.4	82.0	64.6	123.6	20.6	84.2	51.0	14.9	37.6	69.5	23.0	50.4	49.0	100.8	40.3	123.9	45.2	108.2	97.0	15.5	27.5	55.7	65.4	55.3	75.0	10.8	93.6	79.0	109.6	94.1	49.0	91.3	78.4	26.8	85.4	109.2	52.2	59.7
56.6	53.8	27.6	0.0	43.6	50.2	52.0	48.8	31.0	75.0	58.5	22.8	69.6	33.5	12.7	79.7	51.3	60.0	81.0	60.4	64.5	77.9	83.7	70.2	53.5	96.2	10.0	58.9	38.8	12.7	10.8	44.7	21.4	23.0	36.6	73.8	16.0	96.4	18.4	81.3	69.4	38.1	6.4	46.2	41.4	27.8	47.4	18.4	70.6	51.6	82.4	72.1	27.2	65.6	55.3	8.1	60.4	83.4	31.4	33.2
57.5	51.6	70.9	43.6	0.0	58.5	26.6	20.8	18.7	32.8	25.6	22.5	52.6	20.1	56.2	40.0	18.4	26.5	67.8	18.2	66.0	40.3	40.9	64.9	55.9	52.6	50.9	36.9	48.1	56.2	33.3	32.4	56.3	23.1	47.3	30.4	32.2	53.0	29.4	38.0	28.2	78.9	43.8	55.0	20.9	18.4	8.2	60.8	38.9	16.8	38.8	43.0	30.1	26.1	28.3	47.4	24.7	42.4	31.3	23.5
102.0	13.0	66.0	50.2	58.5	0.0	40.0	43.1	62.8	72.4	83.8	44.0	107.1	66.4	56.1	96.9	48.1	50.4	121.2	75.0	15.0	98.2	93.1	113.9	99.2	96.9	59.1	36.7	85.6	56.1	51.6	28.1	71.2	42.6	83.6	82.2	58.4	94.5	39.6	89.1	66.3	81.2	56.4	93.6	72.9	44.1	54.3	63.0	97.3	50.2	87.0	101.1	67.9	83.9	85.0	44.0	83.2	98.0	72.1	35.3
82.9	29.4	78.4	52.0	26.6	40.0	0.0	5.8	41.2	32.6	50.9	30.6	79.2	44.0	64.0	58.9	9.4	10.8	94.4	38.1	43.0	61.3	53.5	91.2	81.0	57.1	61.7	10.3	71.0	64.0	45.1	12.6	70.8	29.8	69.7	42.8	48.2	55.1	33.6	49.3	26.3	90.1	55.4	78.6	47.0	26.2	19.1	70.3	63.4	11.7	47.0	68.1	51.5	47.5	54.7	51.6	49.0	59.2	54.1	18.8
77.2	33.5	75.7	48.8	20.8	43.1	5.8	0.0	35.7	31.0	45.3	26.6	73.4	38.3	61.1	54.4	5.0	11.4	88.6	33.1	47.5	56.5	50.0	85.4	75.3	55.4	58.2	16.1	65.6	61.1	41.1	15.0	66.8	26.0	64.4	39.1	43.6	53.9	30.5	46.0	24.7	86.8	51.6	73.2	41.1	21.8	13.5	67.1	58.0	7.1	44.3	62.6	46.2	42.5	48.9	49.2	43.6	55.1	48.7	16.3
42.0	59.5	56.4	31.0	18.7	62.8	41.2	35.7	0.0	51.0	27.5	18.9	44.4	3.6	42.5	48.8	35.1	44.0	58.4	31.1	73.6	46.8	54.2	52.0	39.9	68.7	35.8	51.2	30.1	42.5	20.4	42.2	38.9	20.2	29.0	45.3	16.1	69.8	24.7	52.4	46.8	62.2	29.1	37.5	11.2	19.1	26.2	45.8	40.0	34.0	54.5	42.2	11.4	34.9	25.1	37.2	29.4	52.8	13.0	29.2
84.1	61.0	102.6	75.0	32.8	72.4	32.6	31.0	51.0	0.0	41.3	52.3	70.8	51.6	87.7	35.5	26.4	22.1	85.4	25.0	73.3	40.2	24.7	87.6	83.3	24.5	83.1	37.1	78.6	87.7	65.3	45.1	89.0	52.4	78.2	17.2	64.9	22.8	58.3	20.2	6.3	111.4	76.1	84.5	49.2	47.4	27.6	92.8	48.5	25.1	16.2	53.9	62.2	31.3	48.1	77.3	37.5	33.3	62.6	46.1
43.9	77.2	82.9	58.5	25.6	83.8	50.9	45.3	27.5	41.3	0.0	43.3	30.1	25.0	69.6	22.8	41.7	47.4	45.2	16.5	91.6	19.7	32.2	46.3	43.7	49.8	62.4	60.8	43.0	69.6	47.9	58.0	63.0	44.4	43.4	27.5	43.0	52.5	50.2	32.3	40.5	86.5	56.0	47.0	17.5	41.0	31.9	72.1	13.6	39.6	36.4	17.5	34.0	11.7	7.3	64.6	4.1	27.6	31.6	48.5
58.8	41.9	50.3	22.8	22.5	44.0	30.6	26.6	18.9	52.3	43.3	0.0	63.3	22.5	35.5	61.7	28.7	37.6	77.2	40.5	55.4	61.1	63.3	70.0	56.3	74.3	31.8	39.0	43.9	35.5	14.6	26.7	40.3	1.4	42.2	52.8	18.1	74.2	7.1	60.4	46.7	60.4	25.1	51.9	29.5	5.0	24.8	41.0	56.7	28.8	60.9	59.7	24.7	47.4	42.7	25.2	44.0	64.5	28.6	13.2
25.0	102.7	87.1	69.6	52.6	107.1	79.2	73.4	44.4	70.8	30.1	63.3	0.0	40.8	77.2	42.6	70.5	77.0	15.3	46.5	117.0	36.7	56.2	19.0	26.9	74.4	69.2	89.4	36.7	77.2	61.0	84.1	64.3	64.7	38.5	55.3	54.1	78.2	68.9	58.0	70.5	85.4	64.8	34.9	34.2	63.0	60.2	77.0	24.1	68.5	63.0	19.4	42.7	39.6	24.7	77.4	33.5	47.9	38.3	72.5
