80
0.00	29.20	41.68	30.85	18.68	11.85	23.14	35.68	38.32	10.07	27.28	45.26	34.97	44.85	12.90	28.51	33.51	28.11	45.44	14.11	31.39	44.31	28.35	16.67	23.71	11.74	28.61	46.32	45.04	37.11	32.07	35.55	47.95	31.57	57.48	25.85	39.03	37.80	35.54	36.95	44.93	42.65	53.30	25.09	26.59	6.28	27.26	34.88	39.74	18.18	48.02	11.59	27.79	22.20	43.96	39.69	12.31	26.90	30.73	29.22	34.30	14.61	47.88	5.74	7.45	43.82	1.80	23.36	14.48	23.72	3.54	28.77	37.45	3.13	48.50	19.48	35.77	19.16	39.88	15.38	
29.20	0.00	41.85	12.27	10.56	39.99	11.61	6.52	23.09	25.49	20.42	34.82	12.68	37.72	34.98	6.75	11.40	1.79	50.14	19.09	10.27	42.95	20.17	12.78	16.34	31.12	21.65	47.52	31.90	34.22	9.91	30.38	34.20	4.03	37.88	40.92	13.49	40.82	43.38	8.06	43.03	33.78	33.53	10.38	38.92	33.16	2.21	6.87	11.68	39.23	31.81	17.76	23.66	31.68	33.45	15.63	40.57	3.31	43.02	35.79	17.41	19.84	47.02	24.37	22.66	50.16	30.95	27.04	15.00	5.91	29.73	37.97	8.32	30.93	27.31	33.32	14.00	11.60	39.72	32.98	
41.68	41.85	0.00	53.23	40.07	41.58	31.29	43.77	22.86	31.85	21.60	15.18	32.66	10.46	32.13	47.63	32.86	42.77	9.44	31.46	51.70	2.99	21.70	37.31	26.40	30.76	20.25	5.68	19.02	7.73	33.47	11.74	20.28	39.59	32.70	21.65	36.79	4.76	11.04	42.99	3.85	13.05	30.99	31.78	18.50	38.38	42.15	40.36	41.59	30.04	23.86	40.63	18.57	19.65	15.27	34.59	42.06	43.24	17.44	12.93	26.51	30.27	6.22	42.99	42.94	10.93	41.91	18.99	41.13	38.28	38.51	14.81	44.37	39.80	31.57	23.25	31.84	34.72	2.16	27.73	
30.85	12.27	53.23	0.00	15.03	42.66	21.99	15.04	35.36	31.13	31.63	47.06	24.81	49.81	40.25	5.68	23.61	10.86	61.03	25.97	2.39	54.57	31.60	18.37	26.93	36.82	33.02	58.90	44.17	45.77	22.17	42.07	46.45	15.92	49.40	48.97	24.63	51.70	53.41	17.03	54.72	45.93	45.14	21.47	47.60	36.32	11.29	17.62	21.16	45.24	43.95	20.01	34.70	40.46	45.68	27.11	43.14	10.07	51.96	45.66	29.67	27.07	58.67	25.14	23.40	60.75	32.63	36.72	17.33	14.98	32.68	47.38	16.26	33.44	38.84	41.07	26.12	19.50	51.07	39.54	
18.68	10.56	40.07	15.03	0.00	29.75	9.78	17.07	26.59	16.38	19.10	36.98	19.11	38.63	25.76	10.81	17.54	9.43	47.12	10.94	14.56	41.83	19.50	3.34	14.00	22.13	20.67	45.66	35.09	33.10	15.86	29.85	37.80	13.36	44.28	33.94	22.02	37.90	38.90	18.48	42.12	35.17	39.88	10.59	32.64	22.99	8.57	16.70	21.66	30.52	36.42	7.20	21.68	25.57	35.55	23.39	30.31	8.29	37.03	31.16	21.13	12.05	45.91	13.83	12.15	46.55	20.45	22.29	4.52	5.65	19.45	32.63	18.86	20.56	34.11	26.04	20.24	5.37	37.93	24.63	
11.85	39.99	41.58	42.66	29.75	0.00	31.98	46.30	44.51	15.86	33.09	48.91	43.65	47.30	9.62	40.05	42.33	39.10	42.85	22.24	43.11	44.50	34.29	27.22	30.97	12.33	34.06	45.17	49.68	39.04	41.11	38.68	52.51	41.83	63.46	21.46	48.20	37.05	32.91	47.35	45.27	46.03	59.60	34.05	23.66	6.85	38.21	45.03	49.69	12.20	53.45	23.01	32.43	22.59	47.79	48.37	0.62	38.04	26.74	28.68	41.61	22.14	47.44	17.59	19.29	40.66	10.12	26.28	25.89	34.22	10.30	26.97	48.02	9.28	55.61	18.50	44.22	28.99	40.19	14.21	
23.14	11.61	31.29	21.99	9.78	31.98	0.00	16.19	17.05	16.26	9.76	27.20	11.86	28.97	25.24	16.49	10.43	12.02	39.07	9.74	20.62	32.77	9.94	8.36	4.95	21.31	11.24	36.95	25.38	23.96	9.14	20.45	28.13	11.23	35.45	29.52	16.22	29.73	31.87	16.59	32.98	25.43	31.10	2.07	27.38	25.26	11.25	13.89	18.06	28.83	26.99	14.16	12.73	20.16	25.77	16.59	32.59	12.18	31.43	24.22	11.91	9.95	36.87	20.08	18.85	38.89	24.62	15.42	12.82	7.01	22.38	26.36	17.61	23.84	25.76	22.13	12.63	4.92	29.13	22.47	
35.68	6.52	43.77	15.04	17.07	46.30	16.19	0.00	22.73	31.42	23.31	34.59	11.63	38.17	40.82	10.90	11.04	7.92	52.59	24.87	12.66	44.46	22.74	19.12	20.24	36.92	24.23	49.35	31.13	36.04	10.30	32.05	33.02	4.96	34.54	45.64	9.88	43.43	46.77	2.01	44.40	34.10	30.37	14.43	43.33	39.45	8.64	3.49	6.15	44.81	30.03	24.27	26.59	36.19	33.33	12.54	46.88	9.41	47.20	39.45	17.61	25.47	48.41	30.89	29.18	52.94	37.41	31.10	21.52	12.08	36.08	41.93	1.80	37.32	24.06	38.32	12.78	17.49	41.71	38.47	
38.32	23.09	22.86	35.36	26.59	44.51	17.05	22.73	0.00	29.21	11.42	11.89	11.10	15.57	35.72	29.77	11.94	24.56	32.25	24.25	33.32	22.81	10.23	25.40	14.69	32.28	10.51	28.00	8.84	15.58	13.23	11.83	11.32	19.68	19.19	33.35	14.27	24.06	29.30	21.48	22.57	11.48	15.13	16.00	30.05	38.55	24.29	19.25	19.27	37.18	9.97	31.03	12.55	24.81	10.60	11.86	45.12	25.61	32.45	23.90	5.74	23.71	26.47	36.41	35.41	33.32	39.47	19.37	29.87	22.18	36.57	27.08	22.86	38.12	11.55	28.75	9.95	21.97	21.09	31.53	
10.07	25.49	31.85	31.13	16.38	15.86	16.26	31.42	29.21	0.00	17.87	35.34	27.81	34.79	9.50	27.18	26.51	24.96	36.34	6.61	30.89	34.40	19.02	13.21	15.17	5.75	19.06	36.70	35.35	27.05	25.35	25.51	38.25	26.69	48.37	18.81	32.42	28.19	26.72	32.24	35.00	32.67	44.34	18.32	18.50	9.41	24.04	29.74	34.21	14.15	38.62	11.83	17.95	12.82	34.07	32.52	16.47	24.19	22.93	19.79	25.88	6.32	38.07	11.45	11.85	34.99	10.74	13.29	14.00	19.58	7.51	19.89	33.06	9.05	40.01	11.19	28.36	13.95	29.99	8.52	
